"season","game_id","game_date","goalie_id","goalie_name","save","angle","distance","home","game_score_state","rebound","strength","shot_type","round","recent_save_30","recent_save_60","recent_save_90","recent_save_120","recent_save_150","long_run_save_840","xprime_30","xprime_60","xprime_90","xprime_120","xprime_150"
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,8.4,34.4,1,"Tied",0,"0","Snap Shot",0,0.966666666666667,0.95,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0357142857142857,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,35.4,46.6,1,"Tied",0,"0","Wrist Shot",0,0.966666666666667,0.95,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0357142857142857,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,26.6,51.4,1,"Tied",0,"+","Wrist Shot",0,0.966666666666667,0.95,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0357142857142857,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,29.1,10.3,1,"Tied",0,"+","Wrist Shot",0,0.966666666666667,0.966666666666667,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0523809523809524,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,26.6,44.7,1,"Tied",0,"+","Snap Shot",0,0.966666666666667,0.966666666666667,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0523809523809524,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,35.2,41.6,1,"Tied",0,"+","Wrist Shot",0,0.966666666666667,0.966666666666667,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0523809523809524,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,52.1,11.4,1,"Tied",0,"+","Wrist Shot",0,0.966666666666667,0.966666666666667,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0523809523809524,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,15.4,52.9,1,"Tied",0,"0","Wrist Shot",0,0.966666666666667,0.966666666666667,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0523809523809524,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",0,11.8,24.5,1,"Trailing",0,"0","Snap Shot",0,0.966666666666667,0.966666666666667,0.955555555555556,0.95,0.96,0.914285714285714,0.0523809523809524,0.0523809523809524,0.0412698412698413,0.0357142857142857,0.0457142857142857
"20212022","2021030181",2022-05-02,"8469608","Mike.Smith",1,48.8,10.6,1,"Trailing",0,"0","Backhand",0,0.966666666666667,0.95,0.944444444444444,0.941666666666667,0.953333333333333,0.913095238095238,0.0535714285714286,0.0369047619047619,0.0313492063492063,0.0285714285714286,0.0402380952380953
